1	1	1.428560	0.000000	
1	5	10.000156	4.402326	
1	10	5.988041	5.856353	
1	20	4.825091	6.246917	
1	40	3.710575	6.412090	
1	80	3.537866	6.456377	
1	160	4.048967	6.472584	
1	320	3.989854	6.479541	
1	640	3.900570	6.481245	
1	1280	3.836525	6.472963	
2	1	0.909084	0.000000	
2	5	9.999924	4.402326	
2	10	8.333310	5.856351	
2	20	7.662837	6.246922	
2	40	7.476635	6.412087	
2	80	6.763897	6.456361	
2	160	6.569156	6.472583	
2	320	7.637117	6.479324	
2	640	6.952743	6.480791	
2	1280	7.508893	6.478932	
4	1	0.555551	0.000000	
4	5	6.944504	4.402326	
4	10	12.499996	5.856351	
4	20	13.245034	6.246922	
4	40	13.104013	6.412089	
4	80	13.701563	6.456368	
4	160	13.061892	6.472581	
4	320	13.257208	6.479110	
4	640	12.778197	6.480544	
4	1280	13.225895	6.483705	
8	1	0.204080	0.000000	
8	5	5.952418	4.402326	
8	10	5.847949	5.856351	
8	20	9.876539	6.246920	
8	40	13.524934	6.412086	
8	80	13.325006	6.456369	
8	160	12.077750	6.472594	
8	320	12.572747	6.479224	
8	640	24.207180	6.480999	
8	1280	23.698561	6.481893	
